CODE,ROCHE

A1,Paléosol

A2A4,Latérite nickelifère

A2,Régolite/paléorégolite

A2A3,Latérite ferrifère

A2A2,Latérite manganifère

A2A1,Bauxite

A2B,Saprolite

A2A,Latérite

A3,Chapeau de fer

A4D,Surface encroutée oxydée

A4,Surface encroutée ("duricrust")

A4A2,Dolocrète

A4A4,Karst

A4A,Surface encroutée carbonatée

A4C1,Silcrète

A4B1,Gypcrète

A4C,Surface encroutée siliceuse

A4B,Surface encroutée à sulfate/sulfure

A4A1,Calcrète (caliche)

A4A3,Tuf/travertin

A4D1,Ferricrète

A4D2,Manganocrète

A,Altérites

F1,Sulfures massifs (sulfures > 65 %)

F2,Sulfures semi-massifs (35 % < sulfures > 65%)

F,Roches riches en sulfures

I1A,Granite à feldspath alcalin

I1S,Granodiorite à hypersthène (opdalite)

I1M,Monzogranite

I1T,Tonalite à hypersthène (enderbite)

I1D,Tonalite

I1L,Syénogranite

I1P,Granite à hypersthène (charnockite)

I1H,Granophyre

I1O,Granite à feldspath alcalin avec hypersthène

I1Q,Syénogranite à hypersthène

I1,Roches intrusives felsiques

I1C,Granodiorite

I1E,Trondhjémite (MF <10 %)

I1J,Quartzolite (silexite)

I1N,Filon/veine de quartz

I1B,Granite

I1G,Pegmatite

I1I,Granitoïde riche en quartz

I1R,Monzogranite à hypersthène (farsundite)

I1K,Alaskite (MF <10 %)

I2C,Syénite quartzifère

I2N,Syénite à hypersthène

I2P,Monzodiorite à hypersthène (jotunite)

I2A,Syénite quartzifère à feldspath alcalin

I2DF,Syénite foïdique

I2DR,Syénite foïdifère

I2G,Monzodiorite quartzifère

I2F,Monzonite

I2O,Monzonite à hypersthène (mangérite)

I2B,Syénite à feldspath alcalin

I2BR,Syénite foïdifère à feldspath alcalin

I2H,Monzodiorite

I2I,Diorite quartzifère

I2JF,Diorite foïdique

I2FR,Monzonite foïdifère

I2KF,Monzosyénite foïdique

I2,Roches intrusives intermédiaires

I2E,Monzonite quartzifère

I2J,Diorite

I2JR,Diorite foïdifère

